Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Automotivo;Acessórios para Veículos;Mercado Livre;LBU1458199008;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;27,90;4,5;10830.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB52950136;Chaveiro Furía Da Noite - Modelo Chaveiro Cor Preto;27,98;4,7;6385.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB44496353;Kit Shampoo Automotivo Esfregação Neutro V-floc V-mol Vonixx;43,58;4,9;3522.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB3242353924;Kit Jogo Tapete Automotivo Borracha Volkswagen + Lixeira;43,27;4,4;2688.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB4138204767;Capa Impermeável Para Carro Proteção Total Uv Chuva;59,17;4,6;3303.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB61990789;Carregador Para Bateria 12v Até 300a(carro, Moto, Barco, Caminhão, Jet-ski, Etc.) Modelo Cf5ah Trafotron, Bivolt, Produto Nacional Com Duas Opções De Carga Lenta E Semirrápida, 6 Meses De Garantia.;69,99;4,5;19245.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB34693612;Wd 40 Desengripante Lubrificante Multiuso Spray 300ml;36,99;4,9;6793.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB11977000;Capacete Para Moto Pro Tork Sport Moto 788 Cor Amarelo Tamanho Do Capacete 58;110,68;4,6;14214.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB5183218656;Kit 4 Piscas Seta Twister Titan Fan 125-150 Xre Cb 300 Bros;45,48;4,8;6461.0;Acessórios para Veículos
Automotivo;Acessórios para Veículos;Mercado Livre;MLB25927374;Som Rádio Automotivo Bluetooth Usb Card Sd Aux Fm Mp3 H-tech;57,65;4,7;8412.0;Acessórios para Veículos
Bebês;Bebês;Amazon;B099KTRZP7;Fralda Turma da Mônica Baby Mega P 62 Unidades;38,1;4,7;45.269;Bebês
Bebês;Bebês;Amazon;B0BFXKZQ2Y;Huggies Fralda Descartável Supreme Care, Tamanho G, com Tecnologia Xtra-Flex 160 Unidades;189,9;4,7;26.449;Bebês
Bebês;Bebês;Amazon;B09BBDVPB1;MamyPoko Lenços Umedecidos Dia&Noite 200 Unidades;27,03;4,8;46.867;Bebês
Bebês;Bebês;Amazon;B07MLKGDDH;Bepantol Baby Pomada Assadura Bebe Hipoalergênica 120g;48,9;4,9;45.412;Bebês
Bebês;Bebês;Amazon;B0979VS2JH;Fralda Pom Pom Protek Proteção de Mãe Hiper G 68 Unidades;62,99;4,6;24.07;Bebês
Bebês;Bebês;Amazon;B07GR5T4RF;Fralda Pants Huggies Proteção Acolchoada Tamanho G 60 unidades – Nova fralda Supreme Care estilo roupinha, que veste como shortinho e com cintura acolchoada super macia que previne marquinhas, fácil de colocar e tirar (embalagem pode variar);68,99;4,7;26.333;Bebês
Bebês;Bebês;Amazon;B07MJ251Z8;Huggies Lenços Umedecidos Rosto e Corpo Limpeza 4 x 48-192 lenços;29,9;4,7;7.65;Bebês
Bebês;Bebês;Amazon;B08LK15F8N;Granado Sabonete Líquido Bebê, Tradicional, 500ml;32,45;4,8;30.772;Bebês
Bebês;Bebês;Amazon;B0B9959CWN;Lenços Umedecidos Pampers Cuidado de bebê, 576 Unidades;93,8;4,9;10.466;Bebês
Bebês;Bebês;Amazon;B07FN7T2LK;Huggies Lenços Umedecidos Recém-Nascido Sem Fragrância 6 x 48 Un;49,99;4,8;11.225;Bebês
Bebês;Bebês;Amazon;B0C6KY4152;Fralda Pampers Pants Ajuste Total tamanho XG, Fácil de Vestir, 86 Unidades;120,9;4,8;2.588;Bebês
Bebês;Bebês;Amazon;B082L13YPQ;Lenços Umedecidos Pampers Aroma de Aloe Vera 192 Unidades;33,71;4,8;16.002;Bebês
Bebês;Bebês;Amazon;B095R9CKYR;Huggies Fralda Descartável Premium Natural Care RN - 34 Fraldas;33,99;4,9;16.361;Bebês
Bebês;Bebês;Amazon;B07GPV56NS;Fralda Pampers Recém-Nascido Tamanho RN+ 36 Unidades;38,9;4,9;3.926;Bebês
Bebês;Bebês;Amazon;B07GQB93FT;Fralda Pampers Premium Care Recém-Nascido RN 36 Unidades;38,9;4,9;8.904;Bebês
Bebês;Bebês;Amazon;B078HS3SKS;Baby Dove Sabonete Líquido Da Cabeça Aos Pés Hidratação Enriquecida 400Ml;25,19;4,8;12.641;Bebês
Bebês;Bebês;Amazon;B07Z55NZ7G;Kit Sabonete em Barra Pom Pom Loção Hidratante com 5 unidades de 70g cada;11,9;4,8;7.639;Bebês
Bebês;Bebês;Amazon;B07D2FKWBT;Johnson's Baby Sabonete Líquido Recém Nascido, 200ml;23,99;4,9;13.622;Bebês
